0 1.65 1
Linear 3 explicit
0 378.6 1789.7974 781.02
0.005 378.6 1789.7932 781.0138
0.01 378.6 1789.7807 780.9952
0.015 378.6 1789.7598 780.9644
0.02 378.6 1789.7305 780.9212
0.025 378.6 1789.693 780.8657
0.03 378.6 1789.647 780.7979
0.035 378.6 1789.5927 780.7178
0.04 378.6 1789.53 780.6253
0.045 378.6 1789.459 780.5206
0.05 378.6 1789.3796 780.4036
0.055 378.6 1789.2917 780.2743
0.06 378.6 1789.1955 780.1327
0.065 378.6 1789.0908 779.9788
0.07 378.6 1788.9777 779.8127
0.075 378.6 1788.8561 779.6343
0.08 378.6 1788.7261 779.4437
0.085 378.6 1788.5876 779.2409
0.09 378.6 1788.4405 779.0259
0.095 378.6 1788.285 778.7986
0.1 378.6 1788.1209 778.5592
0.105 378.6 1787.9482 778.3076
0.11 378.6 1787.767 778.0438
0.115 378.6 1787.5771 777.7679
0.12 378.6 1787.3786 777.4799
0.125 378.6 1787.1714 777.1798
0.13 378.6 1786.9555 776.8676
0.135 378.6 1786.7309 776.5433
0.14 378.6 1786.4975 776.207
0.145 378.6 1786.2554 775.8587
0.15 378.6 1786.0044 775.4984
0.155 378.6 1785.7446 775.1261
0.16 378.6 1785.4759 774.7419
0.165 378.6 1785.1983 774.3457
0.17 378.6 1784.9117 773.9377
0.175 378.6 1784.6162 773.5177
0.18 378.6 1784.3116 773.086
0.185 378.6 1783.9979 772.6424
0.19 378.6 1783.6751 772.187
0.195 378.6 1783.3432 771.7199
0.2 378.6 1783.0021 771.241
0.205 378.6 1782.6517 770.7505
0.21 378.6 1782.292 770.2483
0.215 378.6 1781.9231 769.7345
0.22 378.6 1781.5447 769.2091
0.225 378.6 1781.1569 768.6721
0.23 378.6 1780.7597 768.1236
0.235 378.6 1780.3529 767.5637
0.24 378.6 1779.9365 766.9923
0.245 378.6 1779.5106 766.4095
0.25 378.6 1779.0749 765.8153
0.255 378.6 1778.6295 765.2098
0.26 378.6 1778.1743 764.5931
0.265 378.6 1777.7093 763.9651
0.27 378.6 1777.2344 763.326
0.275 378.6 1776.7495 762.6756
0.28 378.6 1776.2546 762.0142
0.285 378.6 1775.7497 761.3418
0.29 378.6 1775.2346 760.6583
0.295 378.6 1774.7093 759.9639
